GiftId,Latitude,Longitude,Weight
1,16.34576887,6.303545125,1
2,12.49474931,28.62639556,15.52447957
3,27.79461514,60.03249479,8.058498622
4,44.42699238,110.1142161,1
5,-69.85408841,87.94687788,25.08889192
6,53.56796981,-71.35930809,38.00015126
7,12.90258404,79.96694891,44.20661624
8,-6.291098893,-64.89175089,1
9,-2.685316053,111.0897582,1
10,38.42886187,101.9736709,35.70131124
11,39.09014301,72.61892787,27.57992144
12,-15.57493423,39.55729548,14.55197414
13,73.18964973,-106.6042199,4.983562329
14,57.06828972,134.1710513,23.65599779
15,-68.88467273,61.21439143,1
16,-40.7404097,-63.95274995,20.85176452
17,-66.32439126,-65.05711577,1
18,48.75063102,-124.5720012,6.88447878
19,34.22210516,-99.39086305,45.80868301
20,-73.08386235,-74.41726529,43.21221952
21,18.67162431,-95.71093553,1
22,47.36264464,61.06830692,27.11317318
23,-21.28284063,-64.99400773,1
24,36.40358683,65.85137338,1
25,52.21852402,10.26521452,26.4288452
26,18.36674575,51.37295549,38.39440568
27,29.44142677,86.27599759,14.39033
28,76.3334846,-38.23942065,1
29,65.07172593,64.4078959,4.642467899
30,38.38065982,42.63799852,45.72847367
31,62.51995974,-43.26261031,29.15974093
32,58.91667586,-128.6402845,8.922933969
33,-8.634069543,-63.93668539,24.84353587
34,-76.19407272,-141.0183178,1
35,52.56357329,71.65132116,1
36,31.04598104,12.00279906,14.28245276
37,50.24205076,-95.53774721,1
38,16.01750074,-12.08836937,1
39,8.058470935,48.12778933,1
40,75.26151031,143.4741848,1
41,18.7085646,80.61503595,37.63891837
42,68.485726,62.79798697,29.7005922
43,-77.05117865,-29.77254395,6.245817683
44,42.32078332,-74.11747329,8.444635505
45,55.79813974,114.30677,6.523144091
46,67.72614563,38.35917671,1
47,29.96169351,14.7260594,1
48,39.49089536,87.45396893,14.76200542
49,-1.954962373,-69.72008846,1
50,56.8165711,-153.9981372,14.04809734
51,22.15745712,21.9442973,38.9453026
52,64.8631213,46.89960507,1
53,33.57699426,-84.1039832,28.4738708
54,28.31569726,91.41680538,1.366991875
55,-8.250946327,-41.57428835,1
56,1.847731903,-64.84867122,30.25696957
57,50.66453019,86.65451209,25.35367827
58,31.69268275,101.1173711,21.20053354
59,-84.85548512,-4.031514555,42.80664664
60,65.15713359,-136.8217518,1
61,37.71925992,80.27153479,24.96041596
62,6.963064516,34.24281944,1
63,-30.89580172,-70.44272282,14.00143642
64,54.25065831,28.53633732,16.16456955
65,29.01890706,-110.2813057,8.830425444
66,-8.034788276,22.5955467,1
67,5.403868019,34.33978617,6.151453084
68,32.42596214,7.927523165,2.319871814
69,51.73736456,-124.0786375,22.3771016
70,63.77194254,48.27117941,1
